brand,final_price
6pm Sperry Top-Sider Footwear RP,69.99
A-Premium,29.99
ACO perfumes,310.0
AFI,97.99
ALLOSUN,32.99
ALPS Mountaineering,59.99
AMAZON ESSENTIALS,13.2
AMGSH,15.95
ARTEZA,26.99
ASICS,79.9
ASLONG,149.99
AT-A-GLANCE,6.33
ATTCL,25.0
AUMTISC,27.99
AUSELILY,34.99
AVERY,12.833333333333334
AVIA,36.76
Accutire,17.95
Acofect,5.49
Agmibrelr,34.89
AiBOB,37.99
Aiyazhi,19.98
Alex Evenings Womens Dresses,212.88
All Good Makes Everything Better,13.59
Alleson Athletic,17.57
Allewie,139.99
Allsop,10.99
Allstar Innovations,24.99
Amana Tool,23.49
Amazon Basics,19.99
Amazon Essentials,17.891666666666666
Ambesonne,30.46
Anagram International,5.84
Ancor,18.78
Anne Klein,66.5
Anziner,6.99
Aothia,18.95
Aqua,13.15
Aqua Select,399.99
Armitron,31.56
Arpilul,3.99
Art3d,161.49
AsterOutdoor,39.54
Athlio LTD,28.98
Aulzaju,11.99
Auto Ventshade,64.99
Avant Grub,11.99
Awlstar,298.99
B-COOL,25.8
BAMBOOTRAY,21.98
BBK,16.99
BCW,5.51
BDK,30.945
BENTOBEN,10.79
BETOOLL,21.99
BEWISHOME,16.99
BFJLIFE,14.99
BGment,37.99
BIC,9.99
BIDEN,23.99
BIEAMA,19.99
BLACKSTONE,149.66
BOBO BIRD,34.49
BOSCH,49.696666666666665
BTFBM,16.99
BUGANI,69.99
Bach,16.99
Bag Balm,8.49
BainGesk,6.99
Balanced Co.,12.95
Barcaloo,27.99
Bare Home,89.99
Bare peel,389.0
Barn Eleven,19.99
Barton,57.95
Bavilk,16.49
Bedsure,39.99
Belle Poque,31.95
BelugaDesign,9.99
Best Choice Products,114.98499999999999
Best4cat,7.99
BestEquip,249.99
Beyove,21.99
Binami,5.99
Bio-Oil,24.95
Black Rhino,19.99
Blowfish,13.98
Bluemoon Homes,75.99
Boao,7.99
Bocasal,22.99
Bood,49.99
Brainstream,18.35
Braun,94.94
Brentwood,15.49
Brindle,65.26
BrosTrend,33.99
Brother,73.98
Bruntmor,28.49
BtrPower,399.99
