timestamp,title,brand,initial_price,final_price,currency,availability,is_available,rating,discount,seller_id,asin,categories,date,year,month,day,discount_pct,is_discounted,is_price_dropped,is_same_price,categories_array,main_category,sub_category
2024-02-04,"TWINSLUXES Solar Post Cap Lights Outdoor - Waterproof LED Fence Post Solar Lights for 3.5x3.5/4x4/5x5 Wood Posts in Patio, Deck or Garden Decoration 4 Pack",TWINSLUXES,49.99,33.99,USD,In Stock,,4.2,-32%,A32T2M1BDX55RN,B07V5LK5J3,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Outdoor Lighting"",""Post Lights""]",2024-02-04,2024,2,4,32.00640128025605,True,True,False,"['""Tools & Home Improvement""', '""Lighting & Ceiling Fans""', '""Outdoor Lighting""', '""Post Lights""']",Tools & Home Improvement,Lighting & Ceiling Fans
2024-06-09,"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",Accutire,17.95,17.95,USD,In Stock,True,4.4,,A1J9XHX48UC47C,B00080QHMM,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire Repair Tools""]",2024-06-09,2024,6,9,0.0,False,False,True,"['""Automotive""', '""Tools & Equipment""', '""Tire & Wheel Tools""', '""Tire Repair Tools""']",Automotive,Tools & Equipment
2024-01-16,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2),SAURA LIFE SCIENCE,1299.0,799.0,INR,In stock,,5.0,-38%,A2I00EBEBYMKDS,B0CNZ6ZV14,"[""Beauty"",""Hair Care"",""Hair Oils""]",2024-01-16,2024,1,16,38.49114703618168,True,True,False,"['""Beauty""', '""Hair Care""', '""Hair Oils""']",Beauty,Hair Care
2023-09-10,"KASOTT Replacement Airpod Pro Ear Tip Premium Memory Foam Earbud Tips, Perfect Noise Reduction, Ultra-Comfort, Anti-Slip Eartips, Fit in The Charging Case (Sizes M, 3 Pairs)",KASOTT,17.88,17.88,USD,In Stock,,4.3,-13%,A13TBHXCQKF5I1,B0BGSF52LR,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Earpads""]",2023-09-10,2023,9,10,0.0,False,False,True,"['""Electronics""', '""Headphones', ' Earbuds & Accessories""', '""Earpads""']",Electronics,Headphones
2024-04-01,"Bio-Oil Skincare Body Oil (Natural) Serum for Scars and Stretchmarks, Face and Body Moisturizer Hydrates Skin, with Organic Jojoba Oil and Vitamin E, For All Skin Types, 6.7 oz",Bio-Oil,39.24,24.95,USD,In Stock,True,4.6,$14.29$14.29   (36%),ATVPDKIKX0DER,B08XMPKJ1L,"[""Beauty & Personal Care"",""Skin Care"",""Face"",""Creams & Moisturizers"",""Face Oil""]",2024-04-01,2024,4,1,36.416921508664636,True,True,False,"['""Beauty & Personal Care""', '""Skin Care""', '""Face""', '""Creams & Moisturizers""', '""Face Oil""']",Beauty & Personal Care,Skin Care
2023-10-14,"crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids",crysting,22.99,20.99,USD,In Stock,,4.6,-9%,ASER3BNGLPVEW,B0B8CP57MN,"[""Arts, Crafts & Sewing"",""Organization, Storage & Transport"",""Storage Boxes & Organizers""]",2023-10-14,2023,10,14,8.699434536755112,True,True,False,"['""Arts', ' Crafts & Sewing""', '""Organization', ' Storage & Transport""', '""Storage Boxes & Organizers""']",Arts,Crafts & Sewing
2023-09-11,"Ridgid 62990 T-201 5"" Straight Auger",RIDGID,27.38,25.38,USD,Only 5 left in stock - order soon,,4.4,-7%,A2I9G61XDT1RQW,B001HWGJAK,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Drill Bits"",""Auger Drill Bits""]",2023-09-11,2023,9,11,7.304601899196495,True,True,False,"['""Tools & Home Improvement""', '""Power & Hand Tools""', '""Power Tool Parts & Accessories""', '""Power Drill Parts & Accessories""', '""Drill Bits""', '""Auger Drill Bits""']",Tools & Home Improvement,Power & Hand Tools
2023-08-09,Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,Core 10,28.4,23.92,USD,Only 1 left in stock - order soon,,4.4,16,ATVPDKIKX0DER,B07PGY6STR,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Leggings""]",2023-08-09,2023,8,9,15.774647887323933,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Women""', '""Clothing""', '""Active""', '""Leggings""']",Clothing,Shoes & Jewelry
2023-09-10,"Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype",EKSA,89.99,84.99,USD,In Stock,,4.1,-6%,A1TDAPB7TACUL0,B0BK8QY1JB,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphones & Earbuds"",""On-Ear Headphones""]",2023-09-10,2023,9,10,5.5561729081009,True,True,False,"['""Electronics""', '""Headphones', ' Earbuds & Accessories""', '""Headphones & Earbuds""', '""On-Ear Headphones""']",Electronics,Headphones
2024-01-15,"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",LOOGU,13.99,11.19,GBP,In stock,,4.6,-20%,A335GI7462P31I,B00LMTKUU8,"[""Women"",""Accessories"",""Scarves & Wraps""]",2024-01-15,2024,1,15,20.01429592566119,True,True,False,"['""Women""', '""Accessories""', '""Scarves & Wraps""']",Women,Accessories
2024-07-09,"PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding",PULOTE,44.99,44.99,USD,In Stock,True,4.7,-12%,A2RFUEQA0W0DW6,B0CN8RQYDG,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates, Bowls & Cutlery"",""Plates""]",2024-07-09,2024,7,9,0.0,False,False,True,"['""Health & Household""', '""Household Supplies""', '""Paper & Plastic""', '""Disposable Plates', ' Bowls & Cutlery""', '""Plates""']",Health & Household,Household Supplies
2023-09-11,"Stahlwille 96410704 Double Ended Ring Wrench Set Corona, 6mm x 7mm to 20mm x 22mm, Shallow Offset, Chrome Alloy Steel, Chrome Plated, No.23/8, 8 pcs",Stahlwille,149.95,141.1,USD,Only 7 left in stock - order soon,,4.4,-6%,ATVPDKIKX0DER,B001D2X9WU,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Wrenches"",""Socket Wrenches""]",2023-09-11,2023,9,11,5.901967322440811,True,True,False,"['""Tools & Home Improvement""', '""Power & Hand Tools""', '""Hand Tools""', '""Wrenches""', '""Socket Wrenches""']",Tools & Home Improvement,Power & Hand Tools
2023-09-11,"2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah",Cell9102,69.99,69.99,USD,In Stock,,4.0,-5%,A3OBINRC6M8YIT,B083S6S7VG,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Battery Packs & Chargers"",""Battery Packs""]",2023-09-11,2023,9,11,0.0,False,False,True,"['""Tools & Home Improvement""', '""Power & Hand Tools""', '""Power Tool Parts & Accessories""', '""Battery Packs & Chargers""', '""Battery Packs""']",Tools & Home Improvement,Power & Hand Tools
2023-09-11,"General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey",General Tools,6.98,6.19,USD,In Stock,,4.1,-11%,ATVPDKIKX0DER,B09YFS3TR9,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Knives, Parts & Accessories"",""Knives"",""Utility Knives""]",2023-09-11,2023,9,11,11.318051575931232,True,True,False,"['""Tools & Home Improvement""', '""Power & Hand Tools""', '""Hand Tools""', '""Knives', ' Parts & Accessories""', '""Knives""', '""Utility Knives""']",Tools & Home Improvement,Power & Hand Tools
2023-05-30,"DANIEL SMITH Extra Fine Watercolor Paint, 15ml Tube, Iridescent Antique Copper, 284640009",DANIEL SMITH,18.64,13.52,USD,Only 20 left in stock - order soon,,4.8,$5.12,ATVPDKIKX0DER,B001PT6X8S,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",""Painting"",""Paints""]",2023-05-30,2023,5,30,27.467811158798288,True,True,False,"['""Arts', ' Crafts & Sewing""', '""Painting', ' Drawing & Art Supplies""', '""Painting""', '""Paints""']",Arts,Crafts & Sewing
2023-08-03,"NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)",NZND,13.98,13.98,USD,In Stock,,4.5,30,A1INVTZ6QC3RJ7,B09M99SBQ3,"[""Cell Phones & Accessories"",""Cases, Holsters & Sleeves"",""Basic Cases""]",2023-08-03,2023,8,3,0.0,False,False,True,"['""Cell Phones & Accessories""', '""Cases', ' Holsters & Sleeves""', '""Basic Cases""']",Cell Phones & Accessories,Cases
2024-01-16,"Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable",Braun,99.99,94.94,USD,In Stock,,4.3,-5%,ATVPDKIKX0DER,B07PX6QSH2,"[""Beauty & Personal Care"",""Shave & Hair Removal"",""Women's"",""Epilators, Groomers & Trimmers"",""Epilators""]",2024-01-16,2024,1,16,5.0505050505050475,True,True,False,"['""Beauty & Personal Care""', '""Shave & Hair Removal""', '""Women\'s""', '""Epilators', ' Groomers & Trimmers""', '""Epilators""']",Beauty & Personal Care,Shave & Hair Removal
2022-09-19,Swanson Raw Multi-Glandular for Men 60 Capsules,Swanson,13.99,12.8,USD,Only 4 left in stock - order soon.,,4.3,$1.19,A3OLYSHHQKD02C,B003HLZ3IS,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Vitamins"",""Multivitamins""]",2022-09-19,2022,9,19,8.506075768406001,True,True,False,"['""Health & Household""', '""Vitamins', ' Minerals & Supplements""', '""Vitamins""', '""Multivitamins""']",Health & Household,Vitamins
2023-10-04,Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black,Dingo,159.95,144.95,USD,Only 2 left in stock - order soon,,4.4,-9%,A3PNM20FAKCQ5X,B0040AHYGY,"[""Clothing, Shoes & Jewelry"",""Boot Shop"",""Men"",""Fashion"",""Western""]",2023-10-04,2023,10,4,9.377930603313537,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Boot Shop""', '""Men""', '""Fashion""', '""Western""']",Clothing,Shoes & Jewelry
2022-09-18,Nature's Answer Echinacea Alcohol Free Extract 1 Fluid Ounce | Promotes Overall Wellness | Natural Immune Booster | Inflammatory Reducer,Nature's Answer,15.99,12.74,USD,In Stock.,,4.7,$3.25,ASEVS99O6FS73,B00O85SSK2,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Herbal Supplements"",""Echinacea""]",2022-09-18,2022,9,18,20.32520325203252,True,True,False,"['""Health & Household""', '""Vitamins', ' Minerals & Supplements""', '""Herbal Supplements""', '""Echinacea""']",Health & Household,Vitamins
2023-10-07,"FTL GU10 Led Bulb 5000K Daylight White Dimmable Spot Light 6W 600LM 50W Halogen Replacement Bulbs for Track Lighting, Ceiling Recessed Lighting, 6-Pack",FTL,15.99,12.99,USD,In Stock,,4.2,-19%,A2O4TJG7P3SZMD,B0BBFYRJCD,"[""Tools & Home Improvement"",""Light Bulbs"",""LED Bulbs""]",2023-10-07,2023,10,7,18.76172607879925,True,True,False,"['""Tools & Home Improvement""', '""Light Bulbs""', '""LED Bulbs""']",Tools & Home Improvement,Light Bulbs
